model_ID;year;ntfp_name_2;ntfp_q_2;ntfp_unit_2;ntfp_p_2
30;30;Carbon;0,65;tC/ha/year;6
31;1;Carbon;0,42;tC/ha/year;6
31;2;Carbon;1,15;tC/ha/year;6
31;3;Carbon;1,73;tC/ha/year;6
31;4;Carbon;2,18;tC/ha/year;6
31;5;Carbon;2,53;tC/ha/year;6
31;6;Carbon;2,8;tC/ha/year;6
31;7;Carbon;2,98;tC/ha/year;6
31;8;Carbon;3,11;tC/ha/year;6
31;9;Carbon;3,18;tC/ha/year;6
31;10;Carbon;3,21;tC/ha/year;6
31;11;Carbon;3,21;tC/ha/year;6
31;12;Carbon;3,18;tC/ha/year;6
31;13;Carbon;3,13;tC/ha/year;6
31;14;Carbon;3,06;tC/ha/year;6
31;15;Carbon;2,97;tC/ha/year;6
31;16;Carbon;2,88;tC/ha/year;6
31;17;Carbon;2,78;tC/ha/year;6
31;18;Carbon;2,67;tC/ha/year;6
31;19;Carbon;2,56;tC/ha/year;6
31;20;Carbon;2,45;tC/ha/year;6
31;21;Carbon;2,34;tC/ha/year;6
31;22;Carbon;2,22;tC/ha/year;6
31;23;Carbon;2,11;tC/ha/year;6
31;24;Carbon;2,01;tC/ha/year;6
31;25;Carbon;1,9;tC/ha/year;6
31;26;Carbon;1,8;tC/ha/year;6
31;27;Carbon;1,7;tC/ha/year;6
31;28;Carbon;1,6;tC/ha/year;6
31;29;Carbon;1,51;tC/ha/year;6
31;30;Carbon;1,43;tC/ha/year;6
38;1;Carbon;0,99;tC/ha/year;6
38;2;Carbon;2,63;tC/ha/year;6
38;3;Carbon;3,83;tC/ha/year;6
38;4;Carbon;4,68;tC/ha/year;6
38;5;Carbon;5,24;tC/ha/year;6
38;6;Carbon;5,59;tC/ha/year;6
38;7;Carbon;5,77;tC/ha/year;6
38;8;Carbon;5,82;tC/ha/year;6
38;9;Carbon;5,77;tC/ha/year;6
38;10;Carbon;5,64;tC/ha/year;6
38;11;Carbon;5,46;tC/ha/year;6
38;12;Carbon;5,24;tC/ha/year;6
38;13;Carbon;4,99;tC/ha/year;6
38;14;Carbon;4,73;tC/ha/year;6
38;15;Carbon;4,46;tC/ha/year;6
38;16;Carbon;4,19;tC/ha/year;6
38;17;Carbon;3,92;tC/ha/year;6
38;18;Carbon;3,66;tC/ha/year;6
38;19;Carbon;3,4;tC/ha/year;6
38;20;Carbon;3,16;tC/ha/year;6
38;21;Carbon;2,93;tC/ha/year;6
38;22;Carbon;2,71;tC/ha/year;6
38;23;Carbon;2,5;tC/ha/year;6
38;24;Carbon;2,3;tC/ha/year;6
38;25;Carbon;2,12;tC/ha/year;6
38;26;Carbon;1,95;tC/ha/year;6
38;27;Carbon;1,79;tC/ha/year;6
38;28;Carbon;1,65;tC/ha/year;6
38;29;Carbon;1,51;tC/ha/year;6
38;30;Carbon;1,39;tC/ha/year;6
43;1;Carbon;0,14;tC/ha/year;6
43;2;Carbon;0,4;tC/ha/year;6
43;3;Carbon;0,64;tC/ha/year;6
43;4;Carbon;0,84;tC/ha/year;6
43;5;Carbon;1,02;tC/ha/year;6
43;6;Carbon;1,18;tC/ha/year;6
43;7;Carbon;1,32;tC/ha/year;6
43;8;Carbon;1,44;tC/ha/year;6
43;9;Carbon;1,54;tC/ha/year;6
43;10;Carbon;1,63;tC/ha/year;6
43;11;Carbon;1,7;tC/ha/year;6
43;12;Carbon;1,76;tC/ha/year;6
43;13;Carbon;1,81;tC/ha/year;6
43;14;Carbon;1,84;tC/ha/year;6
43;15;Carbon;1,87;tC/ha/year;6
43;16;Carbon;1,89;tC/ha/year;6
43;17;Carbon;1,91;tC/ha/year;6
43;18;Carbon;1,91;tC/ha/year;6
43;19;Carbon;1,91;tC/ha/year;6
43;20;Carbon;1,91;tC/ha/year;6
43;21;Carbon;1,9;tC/ha/year;6
43;22;Carbon;1,88;tC/ha/year;6
43;23;Carbon;1,86;tC/ha/year;6
43;24;Carbon;1,84;tC/ha/year;6
43;25;Carbon;1,82;tC/ha/year;6
43;26;Carbon;1,79;tC/ha/year;6
43;27;Carbon;1,76;tC/ha/year;6
43;28;Carbon;1,73;tC/ha/year;6
43;29;Carbon;1,7;tC/ha/year;6
43;30;Carbon;1,67;tC/ha/year;6
44;1;Carbon;0,2;tC/ha/year;6
44;2;Carbon;0,55;tC/ha/year;6
44;3;Carbon;0,87;tC/ha/year;6
44;4;Carbon;1,14;tC/ha/year;6
44;5;Carbon;1,37;tC/ha/year;6
44;6;Carbon;1,57;tC/ha/year;6
44;7;Carbon;1,74;tC/ha/year;6
44;8;Carbon;1,88;tC/ha/year;6
44;9;Carbon;2;tC/ha/year;6
44;10;Carbon;2,1;tC/ha/year;6
44;11;Carbon;2,18;tC/ha/year;6
44;12;Carbon;2,24;tC/ha/year;6
44;13;Carbon;2,28;tC/ha/year;6
44;14;Carbon;2,31;tC/ha/year;6
44;15;Carbon;2,33;tC/ha/year;6
44;16;Carbon;2,34;tC/ha/year;6
44;17;Carbon;2,34;tC/ha/year;6
44;18;Carbon;2,33;tC/ha/year;6
44;19;Carbon;2,31;tC/ha/year;6
44;20;Carbon;2,29;tC/ha/year;6
44;21;Carbon;2,26;tC/ha/year;6
44;22;Carbon;2,23;tC/ha/year;6
44;23;Carbon;2,19;tC/ha/year;6
44;24;Carbon;2,15;tC/ha/year;6
44;25;Carbon;2,11;tC/ha/year;6
44;26;Carbon;2,06;tC/ha/year;6
44;27;Carbon;2,01;tC/ha/year;6
44;28;Carbon;1,97;tC/ha/year;6
44;29;Carbon;1,92;tC/ha/year;6
44;30;Carbon;1,87;tC/ha/year;6
45;1;Carbon;0,13;tC/ha/year;6
45;2;Carbon;0,37;tC/ha/year;6
45;3;Carbon;0,58;tC/ha/year;6
45;4;Carbon;0,77;tC/ha/year;6
45;5;Carbon;0,94;tC/ha/year;6
45;6;Carbon;1,09;tC/ha/year;6
45;7;Carbon;1,22;tC/ha/year;6
45;8;Carbon;1,34;tC/ha/year;6
45;9;Carbon;1,44;tC/ha/year;6
45;10;Carbon;1,52;tC/ha/year;6
45;11;Carbon;1,6;tC/ha/year;6
45;12;Carbon;1,66;tC/ha/year;6
45;13;Carbon;1,71;tC/ha/year;6
45;14;Carbon;1,75;tC/ha/year;6
45;15;Carbon;1,79;tC/ha/year;6
45;16;Carbon;1,81;tC/ha/year;6
45;17;Carbon;1,83;tC/ha/year;6
45;18;Carbon;1,84;tC/ha/year;6
45;19;Carbon;1,85;tC/ha/year;6
45;20;Carbon;1,85;tC/ha/year;6
45;21;Carbon;1,85;tC/ha/year;6
45;22;Carbon;1,84;tC/ha/year;6
45;23;Carbon;1,83;tC/ha/year;6
45;24;Carbon;1,81;tC/ha/year;6
45;25;Carbon;1,8;tC/ha/year;6
45;26;Carbon;1,78;tC/ha/year;6
